asset_name,broker_ticker,qty,avg_price,current_price,total_invested,total_current
"CDB Pós  CDI+1,3% 05/04/2027 AGIBANK","CDB Pós  CDI+1,3% 05/04/2027 AGIBANK",0E-8,0E-8,0E-8,3000.0000,3891.8100
FIXA11,FIXA11,2672.00000000,18.33000000,18.89000000,48989.8200,50474.0800
JURO11,JURO11,368.00000000,99.83000000,95.49000000,36736.7700,35140.3200
KDIF11,KDIF11,201.00000000,125.09000000,120.00000000,25143.1200,24120.0000
Tesouro IPCA+ 2029,Tesouro IPCA+ 2029,3.58000000,3213.77374302,3635.96368715,,
Tesouro IPCA+ 2035,Tesouro IPCA+ 2035,32.11000000,2086.85000000,2359.18000000,67008.9000,74441.6100
Tesouro IPCA+ 2040,Tesouro IPCA+ 2040,9.35000000,1546.53903743,1703.66951872,,
Tesouro IPCA+ 2045,Tesouro IPCA+ 2045,13.98000000,1073.58000000,1227.83000000,15008.6500,16787.6900
Tesouro IPCA+ 2050,Tesouro IPCA+ 2050,62.18000000,810.44000000,876.60000000,50393.4100,53787.1100
Tesouro Renda+ Aposentadoria Extra 2065,Tesouro Renda+ Aposentadoria Extra 2065,202.17000000,186.11000000,185.32000000,37625.0800,37466.1400
CPTI11,CPTI11,203.00000000,88.33000000,86.47000000,17930.2700,17553.4100
AUPO11,AUPO11,164.00000000,103.13000000,106.94000000,16913.4900,17538.1600
Svn Renda Fixa Crédito,Svn Renda Fixa Crédito,27609.92998922,1.18797838,1.38560366,,
Tesouro Selic 2027,Tesouro Selic 2027,3.27000000,10637.36697248,17576.60856269,,
Tesouro Selic 2029,Tesouro Selic 2029,6.33000000,13831.36000000,19235.24000000,87552.5200,116628.0900
Tesouro Selic 2031,Tesouro Selic 2031,0.39000000,17552.67000000,19187.74000000,6845.5400,7355.6800
RDB Pós 120% CDI 15/05/2028 Caixinha Turbo NuCel,RDB Pós 120% CDI 15/05/2028 Caixinha Turbo NuCel,0E-8,0E-8,0E-8,10000.0000,11651.2200
RDB Pós 120% CDI 15/05/2028 Caixinha Turbo Ultravioleta,RDB Pós 120% CDI 15/05/2028 Caixinha Turbo Ultravioleta,0E-8,0E-8,0E-8,10000.0000,11651.2200
HTEK11,HTEK11,180.00000000,55.71000000,60.36000000,10027.6800,10864.8000
IAU,IAU,12.30000000,456.37000000,392.88000000,5612.7300,4831.8800
IVV,IVV,13.25000000,2896.32000000,3823.32000000,38364.8100,50643.9200
IVVB11,IVVB11,127.00000000,286.55000000,429.63000000,36391.7400,54563.0100
NUCL11,NUCL11,120.00000000,84.87000000,74.36000000,10184.4500,8923.2000
QQQ,QQQ,5.41000000,3129.91000000,3717.39000000,16923.8400,20100.4100
SMH,SMH,14.00000000,990.92000000,3303.02000000,13872.8900,46242.2800
TFLO,TFLO,145.50000000,273.87000000,262.67000000,39847.8700,38217.1900
VNQ,VNQ,12.38000000,487.91000000,504.52000000,6040.9200,6246.5700
VT,VT,10.90000000,748.19000000,803.62000000,8153.4400,8757.5200
Conta corrente em dólar Avenue,Conta corrente em dólar Avenue,0E-8,0E-8,0E-8,51.0200,48.9400
BRCR11,BRCR11,237.00000000,41.81000000,42.02000000,9909.8400,9958.7400
CPTS11,CPTS11,3403.00000000,7.66000000,7.46000000,26056.1300,25386.3800
LVBI11,LVBI11,78.00000000,94.67000000,103.01000000,7384.3600,8034.7800
PSEC11,PSEC11,265.00000000,60.97000000,56.49000000,16156.3100,14969.8500
PVBI11,PVBI11,143.00000000,71.76000000,72.18000000,10261.9700,10321.7400
RBRX11,RBRX11,1797.00000000,8.67000000,8.08000000,15572.7900,14519.7600
RBVA11,RBVA11,1098.00000000,9.60000000,8.90000000,10538.9700,9772.2000
TRXF11,TRXF11,193.00000000,91.60000000,91.73000000,17679.4300,17703.8900
VILG11,VILG11,151.00000000,92.09000000,90.80000000,13905.8100,13710.8000
VISC11,VISC11,99.00000000,96.91000000,104.09000000,9594.4800,10304.9100
XPCI11,XPCI11,199.00000000,84.48000000,83.57000000,16811.8700,16630.4300
XPML11,XPML11,101.00000000,101.07000000,102.99000000,10207.6500,10401.9900
RBFM11,RBFM11,250.00000000,9.85124000,10.75000000,,
BTC,BTC,0.25280000,438704.99000000,312538.87000000,110918.6200,79019.8000
GMAT3,GMAT3,3100.00000000,4.90000000,3.83000000,15188.8200,11873.0000
KEPL3,KEPL3,1900.00000000,7.80000000,6.65000000,14813.0400,12635.0000
PRIO3,PRIO3,400.00000000,54.43000000,53.94000000,21772.6800,21576.0000
RDB Pós 100% CDI 01/06/2035,RDB Pós 100% CDI 01/06/2035,0E-8,0E-8,0E-8,21800.0000,27259.5800
SLCE3,SLCE3,1462.00000000,16.10000000,13.30000000,23541.3800,19444.6000
VAMO3,VAMO3,3800.00000000,4.14000000,2.82000000,15730.6300,10716.0000
WIZC3,WIZC3,2100.00000000,9.04000000,7.65000000,18994.2800,16065.0000
RDB Pós 100% CDI 01/08/2033,RDB Pós 100% CDI 01/08/2033,0E-8,0E-8,0E-8,20000.0000,27098.0300
BRBI11,BRBI11,600.00000000,16.30000000,14.10000000,9780.8100,8460.0000
