asset_name,broker_ticker,qty,avg_price,current_price,total_invested,total_current
"CDB Pós  CDI+1,3% 05/04/2027 AGIBANK","CDB Pós  CDI+1,3% 05/04/2027 AGIBANK",1.00000000,3000.00000000,3794.37000000,3000.0000,3794.3700
"CDB Pós  CDI+1,75% 18/06/2026 BMG","CDB Pós  CDI+1,75% 18/06/2026 BMG",1.00000000,4000.00000000,5594.59000000,4000.0000,5594.5900
Tesouro IPCA+ 2035,Tesouro IPCA+ 2035,32.11000000,2086.85456244,2396.42914980,,
Tesouro IPCA+ 2045,Tesouro IPCA+ 2045,13.98000000,1073.58011445,1257.81902718,,
FIXA11,FIXA11,2.21300000,18180.32535020,19150.00000000,,
JURO11,JURO11,469.00000000,99.82818763,101.93000000,,
KDIF11,KDIF11,151.00000000,123.97814570,125.90000000,,
Tesouro IPCA+ 2050,Tesouro IPCA+ 2050,55.44000000,800.87914863,907.65133478,,
Tesouro Renda+ Aposentadoria Extra 2065,Tesouro Renda+ Aposentadoria Extra 2065,159.03000000,186.28956801,199.84462051,,
Conta corrente em dólar Avenue,Conta corrente em dólar Avenue,1.00000000,57.08000000,52.76000000,57.0800,52.7600
RDB Pós 120% CDI 15/05/2028 Caixinha Turbo NuCel,RDB Pós 120% CDI 15/05/2028 Caixinha Turbo NuCel,1.00000000,10000.00000000,11304.11000000,10000.0000,11304.1100
RDB Pós 120% CDI 15/05/2028 Caixinha Turbo Ultravioleta,RDB Pós 120% CDI 15/05/2028 Caixinha Turbo Ultravioleta,1.00000000,10000.00000000,11304.11000000,10000.0000,11304.1100
Svn Renda Fixa Crédito,Svn Renda Fixa Crédito,18778.75031655,1.23011380,1.39108884,,
Tesouro Selic 2029,Tesouro Selic 2029,6.33000000,13831.36176935,18026.61137441,,
Tesouro Selic 2031,Tesouro Selic 2031,0.39000000,17552.66666667,18447.64102564,,
AUPO11,AUPO11,164.00000000,103.13103659,104.85000000,,
IVVB11,IVVB11,127.00000000,286.54913386,391.30000000,,
IAU,IAU,24.30000000,457.15267490,456.73415638,,
IVV,IVV,12.52000000,2831.58546326,3495.10063898,,
QQQ,QQQ,6.41000000,3134.03588144,3147.57566303,,
SMH,SMH,14.00000000,992.67071429,2264.47000000,13872.8800,46242.2800
TFLO,TFLO,1.53000000,272.88888889,252.43137255,,
VNQ,VNQ,25.38000000,488.79550827,472.13987392,,
VT,VT,45.90000000,749.46928105,741.79193900,,
NUCL11,NUCL11,120.00000000,84.87041667,86.51000000,,
HTEK11,HTEK11,180.00000000,55.70933333,54.72000000,,
BRCR11,BRCR11,296.00000000,41.81368243,47.24000000,,
CPTS11,CPTS11,3.07500000,7661.56097561,8000.00000000,,
LVBI11,LVBI11,99.00000000,94.67131313,109.23000000,,
PSEC11,PSEC11,265.00000000,60.96720755,61.91000000,,
PVBI11,PVBI11,143.00000000,71.76202797,76.72000000,,
RBRX11,RBRX11,1.58000000,8670.40506329,8730.00000000,,
RBVA11,RBVA11,1.09800000,9598.33333333,9900.00000000,,
VILG11,VILG11,109.00000000,91.27201835,99.09000000,,
VISC11,VISC11,99.00000000,96.91393939,109.09000000,,
XPCI11,XPCI11,222.00000000,84.48175676,84.25000000,,
XPML11,XPML11,152.00000000,101.06585526,111.09000000,,
RBFM11,RBFM11,530.00000000,9.81701887,10.78000000,,
BTC,BTC,0.24250000,440789.97938144,370076.74226804,,
RDB Pós 100% CDI 01/06/2035,RDB Pós 100% CDI 01/06/2035,1.00000000,21800.00000000,26497.03000000,21800.0000,26497.0300
RDB Pós 100% CDI 01/08/2033,RDB Pós 100% CDI 01/08/2033,1.00000000,20000.00000000,26475.01000000,20000.0000,26475.0100
PRIO3,PRIO3,300.00000000,53.81683333,65.08000000,,
GMAT3,GMAT3,2.40000000,4902.38333333,4820.00000000,,
KEPL3,KEPL3,1.10000000,8064.60909091,8330.00000000,,
SLCE3,SLCE3,762.00000000,16.65242782,19.32000000,,
VAMO3,VAMO3,3.20000000,4109.77500000,4210.00000000,,
WIZC3,WIZC3,2.10000000,9044.89523810,9650.00000000,,
